"BydgoszczParkPrzemyslowy","53.0841","18.0689","280.34","70","1021","3.09","90","1683852235","4.26","5.53","223.64","0","4.03","75.82","4.05","3.61","280.6","68","1022","3.09","100","4.27","5.62","223.64","0.02","3.77","72.24","3.13","4.5"
"Bydgoszcz","53.1342","17.9943","280.45","70","1021","3.09","90","1683852779","4.11","5.28","226.97","0","4.71","77.96","4.53","3.29","280.49","69","1022","3.09","100","4.7","6.03","226.97","0","4.41","71.53","3.87","4.12"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","280.68","68","1022","3.6","90","1683855835","4.4","5.71","223.64","0","3.9","73.67","3.82","3.93","282.72","62","1022","4.63","100","4.05","5.43","223.64","0.26","3.98","72.24","3.52","4.69"
"Bydgoszcz","53.1342","17.9943","280.71","68","1022","3.6","90","1683856379","4.31","5.52","226.97","0","4.54","75.82","4.35","3.55","283.4","60","1022","4.63","100","4.59","5.94","226.97","0.03","4.58","70.81","3.61","4.37"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","281","66","1022","3.09","100","1683859435","4.47","5.81","223.64","0","3.81","72.96","3.49","4.24","285.39","54","1023","5.14","110","3.87","5.28","223.64","0.68","3.98","73.67","3.87","4.62"
"Bydgoszcz","53.1342","17.9943","280.88","67","1022","3.09","100","1683859980","4.51","5.79","226.97","0","4.46","73.67","4.17","3.83","285.73","54","1023","5.14","110","4.31","5.7","226.97","0.32","4.63","70.81","3.79","4.56"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","280.6","68","1022","3.09","100","1683863035","4.27","5.62","223.64","0.02","3.77","72.24","3.13","4.5","288.08","49","1023","4.63","100","3.62","4.82","220.3","0.79","3.43","80.82","3.76","3.74"
"Bydgoszcz","53.1342","17.9943","280.49","69","1022","3.09","100","1683863580","4.7","6.03","226.97","0","4.41","71.53","3.87","4.12","288.46","50","1023","4.63","100","4.15","5.54","226.97","0.8","4.58","72.96","4.23","4.5"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","282.72","62","1022","4.63","100","1683866636","4.05","5.43","223.64","0.26","3.98","72.24","3.52","4.69","290.04","45","1023","5.14","80","4.65","6.05","223.64","1.1","3.81","78.68","4.89","3.64"
"Bydgoszcz","53.1342","17.9943","283.4","60","1022","4.63","100","1683867179","4.59","5.94","226.97","0.03","4.58","70.81","3.61","4.37","289.64","46","1023","5.14","80","4.78","6.2","230.31","1.37","4.97","72.24","5.36","3.9"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","285.39","54","1023","5.14","110","1683870235","3.87","5.28","223.64","0.68","3.98","73.67","3.87","4.62","291.23","39","1023","6.69","90","5.1","6.4","216.96","0.86","3","86.55","4.53","3.52"
"Bydgoszcz","53.1342","17.9943","285.73","54","1023","5.14","110","1683870780","4.31","5.7","226.97","0.32","4.63","70.81","3.79","4.56","291.29","39","1023","6.69","90","4.93","6.26","226.97","1.36","4.28","77.96","5.36","3.67"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","288.08","49","1023","4.63","100","1683873835","3.62","4.82","220.3","0.79","3.43","80.82","3.76","3.74","292.49","32","1023","7.72","100","4.28","4.96","208.62","0.35","1.5","101.57","3.19","1.84"
"Bydgoszcz","53.1342","17.9943","288.46","50","1023","4.63","100","1683874380","4.15","5.54","226.97","0.8","4.58","72.96","4.23","4.5","292.73","32","1023","7.72","100","5.43","6.71","220.3","1.12","3.51","85.12","5.13","3.58"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","290.04","45","1023","5.14","80","1683877436","4.65","6.05","223.64","1.1","3.81","78.68","4.89","3.64","293.06","30","1023","7.2","110","3.78","4.29","206.95","0.22","1.18","107.29","2.83","1.17"
"Bydgoszcz","53.1342","17.9943","289.64","46","1023","5.14","80","1683877980","4.78","6.2","230.31","1.37","4.97","72.24","5.36","3.9","293.17","30","1023","7.2","110","4.5","5.17","210.29","0.41","1.69","100.14","3.37","1.92"
